Company Name,Category,Sub-Category,Geography,Website,Products/Pipeline,Stage,Use Case,Priority,Notes
Celltex,Clinical/Hospital,MSC Banking,USA,https://celltexbank.com,Autologous MSC culture + exosomes,Commercial,MSC exosome supply,Medium,Texas-based MSC banking
Liveyon,Clinical/Hospital,Regenerative Distribution,USA,https://liveyon.com,Regenerative product distribution,Commercial,MSC exosome distribution partnership,Medium,US regenerative distributor
EmCyte Corporation,Clinical/Hospital,PRP/Regenerative,USA,https://emcyte.com,PRP and regenerative systems,Commercial,MSC exosome kit partnership,Medium,PRP system provider expanding to exosomes
Zimmer Biomet,Pharmaceutical/Biotech,Orthopedics,USA,https://zimmerbiomet.com,Orthopedic biologics,Commercial,Orthopedic MSC exosome partnership,High,Global orthopedic leader; biologics interest
Stryker Corporation,Pharmaceutical/Biotech,Orthopedics/Neuro,USA,https://stryker.com,Orthopedic and neuro biologics,Commercial,MSC exosome biologics partnership,High,Major orthopedic device company
DePuy Synthes (J&J),Pharmaceutical/Biotech,Orthopedics,USA,https://depuysynthes.com,Orthopedic biologics portfolio,Commercial,MSC exosome orthopedic supply,High,J&J orthopedic division
Medtronic,Pharmaceutical/Biotech,Spine/Biologics,USA,https://medtronic.com,Spine biologics and regenerative,Commercial,MSC exosome spine biologics,High,Spine biologics market leader
Integra LifeSciences,Pharmaceutical/Biotech,Tissue Regeneration,USA,https://integralife.com,Tissue regeneration products,Commercial,MSC exosome tissue repair supply,Medium,Tissue regeneration focus
Organogenesis,Pharmaceutical/Biotech,Wound/Tissue,USA,https://organogenesis.com,Apligraf wound healing products,Commercial,MSC exosome wound healing supply,High,Commercial wound healing leader
MiMedx,Pharmaceutical/Biotech,Placental Biologics,USA,https://mimedx.com,Placental tissue allografts,Commercial,Placental MSC exosome supply,High,Placental biologics leader
Athersys,Pharmaceutical/Biotech,MSC Therapy,USA,https://athersys.com,MultiStem MSC platform,Clinical,MSC exosome byproduct supply,Medium,MSC therapy company; exosome potential
Mesoblast,Pharmaceutical/Biotech,MSC Therapy,Australia,https://mesoblast.com,Allogeneic MSC therapies,Clinical,MSC exosome manufacturing partnership,High,Leading allogeneic MSC company
Tigenix (Takeda),Pharmaceutical/Biotech,MSC Therapy,Belgium/Japan,https://takeda.com,Cx601 adipose MSC therapy,Commercial,Adipose MSC exosome supply,Medium,Takeda MSC platform
Pharmicell,Pharmaceutical/Biotech,MSC Therapy,South Korea,https://pharmicell.com,Hearticellgram MSC therapy,Commercial,Korean MSC exosome supply,Medium,First Korean stem cell drug approval
Anterogen,Pharmaceutical/Biotech,MSC Therapy,South Korea,https://anterogen.com,Cupistem adipose MSC,Commercial,Adipose MSC exosome supply,Medium,Korean adipose MSC leader
Green Cross Cell,Pharmaceutical/Biotech,MSC/Immunotherapy,South Korea,https://greencross.com,MSC and immune cell therapies,Commercial,Korean MSC exosome supply,Medium,Major Korean cell therapy company
Nipro Corporation,CDMO/Manufacturing,Cell Therapy CDMO,Japan,https://nipro.com,Cell therapy manufacturing,Commercial,Japan MSC exosome CDMO,Medium,Japanese cell therapy CDMO
Hitachi Chemical (Showa Denko),CDMO/Manufacturing,Cell Therapy,Japan,https://shodemitsu.com,Cell processing equipment/CDMO,Commercial,Japan MSC exosome manufacturing,Medium,Japanese cell therapy infrastructure
Minaris Regenerative Medicine,CDMO/Manufacturing,Cell Therapy CDMO,Japan/Global,https://minaris.com,Cell therapy CDMO,Commercial,MSC exosome GMP manufacturing,High,Terumo-owned cell therapy CDMO
Lykan Bioscience,CDMO/Manufacturing,Cell Therapy CDMO,USA,https://lykanbio.com,Cell therapy manufacturing,Commercial,MSC exosome process development,Medium,WuXi AppTec cell therapy CDMO
